drug_id,drug_name,standardized_ingredient,drug_class
109,nifedipine,nifedipine,Beta blocking agents and calcium channel blockers
110,losartan,losartan,"Angiotensin II receptor blockers (ARBs), plain"
111,warfarin,warfarin,Vitamin K antagonists
112,ketoconazole,ketoconazole,Anticorticosteroids
113,nitazoxanide,nitazoxanide,Other agents against amoebiasis and other protozoal diseases
114,levamlodipine,levamlodipine,Dihydropyridine derivatives
115,trospium,trospium,Drugs for urinary frequency and incontinence
116,metoprolol,metoprolol,Beta blocking agents and calcium channel blockers
117,ribociclib,ribociclib,Cyclin-dependent kinase (CDK) inhibitors
118,primidone,primidone,Barbiturates and derivatives
119,trimipramine,trimipramine,Non-selective monoamine reuptake inhibitors
120,theophylline,theophylline,Xanthines
121,levonorgestrel,levonorgestrel,"Progestogens and estrogens, sequential preparations"
122,furazolidone,furazolidone,Other antiinfectives and antiseptics
123,secobarbital,secobarbital,"Barbiturates, plain"
124,opium,opium,Antipropulsives
125,terazosin,terazosin,Alpha-adrenoreceptor antagonists
126,alfuzosin,alfuzosin,Alpha-adrenoreceptor antagonists
127,pravastatin,pravastatin,HMG CoA reductase inhibitors
128,cenobamate,cenobamate,Other antiepileptics
129,saquinavir,saquinavir,Protease inhibitors
130,oxytetracycline,oxytetracycline,Antiinfectives and antiseptics for local oral treatment
131,enalapril,enalapril,"ACE inhibitors, plain"
132,doxepin,doxepin,Non-selective monoamine reuptake inhibitors
133,fosphenytoin,fosphenytoin,Hydantoin derivatives
134,phenelzine,phenelzine,"Monoamine oxidase inhibitors, non-selective"
135,linezolid,linezolid,Other antibacterials
136,butabarbital,butabarbital,Barbiturates
137,topiramate,topiramate,Centrally acting antiobesity products
138,betaxolol,betaxolol,"Beta blocking agents, selective"
139,selexipag,selexipag,Platelet aggregation inhibitors excl. heparin
140,temazepam,temazepam,Benzodiazepine derivatives
141,pitavastatin,pitavastatin,HMG CoA reductase inhibitors
142,felodipine,felodipine,Beta blocking agents and calcium channel blockers
143,triethylenetetramine,trientine,Various alimentary tract and metabolism products
144,abrocitinib,abrocitinib,"Agents for dermatitis, excluding corticosteroids"
145,nadolol,nadolol,"Beta blocking agents, non-selective"
146,lanreotide,lanreotide,Somatostatin and analogues
147,nabumetone,nabumetone,"Other antiinflammatory and antirheumatic agents, non-steroids"
148,cefoperazone,cefoperazone,Third-generation cephalosporins
149,black cohosh,black cohosh extract,Other gynecologicals
150,isotretinoin,isotretinoin,Retinoids for topical use in acne
151,macimorelin,macimorelin,Tests for pituitary function
152,imipramine,imipramine,Non-selective monoamine reuptake inhibitors
153,chlorothiazide,chlorothiazide,"Thiazides, plain"
154,methadone,methadone,Drugs used in opioid dependence
155,tizanidine,tizanidine,Other centrally acting agents
156,brimonidine topical,brimonidine,Other dermatologicals
157,disopyramide,disopyramide,"Antiarrhythmics, class Ia"
158,buprenorphine,buprenorphine,Oripavine derivatives
159,lisinopril,lisinopril,"ACE inhibitors, plain"
160,conjugated estrogens,"estrogens, conjugated (USP)","Natural and semisynthetic estrogens, plain"
161,esketamine,esketamine,Other general anesthetics
162,darifenacin,darifenacin,Drugs for urinary frequency and incontinence
163,ethotoin,ethotoin,Hydantoin derivatives
164,verapamil,verapamil,Phenylalkylamine derivatives
165,bortezomib,bortezomib,Proteasome inhibitors
166,etomidate,etomidate,Other general anesthetics
167,hydrochlorothiazide,hydrochlorothiazide,Renin-inhibitors
168,interferon beta1b,interferon beta1b,UNKNOWN_CLASS
169,methyclothiazide,methyclothiazide,"Thiazides, plain"
170,cefotetan,cefotetan,Second-generation cephalosporins
171,isocarboxazid,isocarboxazid,"Monoamine oxidase inhibitors, non-selective"
172,mefenamic acid,mefenamic acid,Fenamates
173,naproxen,naproxen,Propionic acid derivatives
174,etidronic acid,etidronic acid,Bisphosphonates
175,ferrous fumarate,ferrous fumarate,"Iron bivalent, oral preparations"
176,codeine,codeine,Opium alkaloids and derivatives
177,eslicarbazepine,eslicarbazepine,Carboxamide derivatives
178,mifepristone,mifepristone,Progesterone receptor modulators
179,fenoprofen,fenoprofen,Propionic acid derivatives
180,sparsentan,sparsentan,Other agents acting on the renin-angiotensin system
181,brexanolone,brexanolone,Other antidepressants
182,propranolol,propranolol,"Beta blocking agents, non-selective"
183,meclofenamic acid,meclofenamic acid,Fenamates
184,guanethidine,guanethidine,Guanidine derivatives
185,diazoxide,diazoxide,Thiazide derivatives
186,idelalisib,idelalisib,Phosphatidylinositol-3-kinase (Pi3K) inhibitors
187,amitriptyline,amitriptyline,Non-selective monoamine reuptake inhibitors
188,cefpodoxime,cefpodoxime,Third-generation cephalosporins
189,linaclotide,linaclotide,Other drugs for constipation
190,olmesartan,olmesartan,"Angiotensin II receptor blockers (ARBs), plain"
191,clofarabine,clofarabine,Purine analogues
192,lorcaserin,lorcaserin,Centrally acting antiobesity products
193,remifentanil,remifentanil,Opioid anesthetics
194,exenatide,exenatide,Glucagon-like peptide-1 (GLP-1) analogues
195,carvedilol,carvedilol,Alpha and beta blocking agents
196,gatifloxacin,gatifloxacin,Fluoroquinolones
197,loratadine,loratadine,Other antihistamines for systemic use
198,baloxavir marboxil,baloxavir marboxil,Other antivirals
199,darolutamide,darolutamide,Anti-androgens
200,tecovirimat,tecovirimat,Other antivirals
201,guanadrel,guanadrel,Guanidines
202,pentobarbital,pentobarbital,"Barbiturates, plain"
203,atropine,atropine,"Belladonna alkaloids, tertiary amines"
204,candesartan,candesartan,"Angiotensin II receptor blockers (ARBs), plain"
205,bedaquiline,bedaquiline,Other drugs for treatment of tuberculosis
206,norfloxacin,norfloxacin,Fluoroquinolones
207,methotrexate,methotrexate,Folic acid analogues
208,procyclidine,procyclidine,Tertiary amines
209,tamsulosin,tamsulosin,Alpha-adrenoreceptor antagonists
210,clidinium,clidinium,Quinuclidinyl Benzilate
211,mirabegron,mirabegron,Drugs for urinary frequency and incontinence
212,phenobarbital,phenobarbital,Barbiturates and derivatives
213,melatonin,melatonin,Melatonin receptor agonists
214,ramipril,ramipril,"ACE inhibitors, plain"
215,sucralfate,sucralfate,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
216,bexarotene,bexarotene,Retinoids for cancer treatment
217,modafinil,modafinil,Centrally acting sympathomimetics
218,omadacycline,omadacycline,Tetracyclines
219,dipyridamole,dipyridamole,Platelet aggregation inhibitors excl. heparin
220,albiglutide,albiglutide,Glucagon-like peptide-1 (GLP-1) analogues
221,piroxicam,piroxicam,Oxicams
222,clevidipine,clevidipine,Dihydropyridine derivatives
223,reserpine,reserpine,Rauwolfia alkaloids
224,nafcillin,nafcillin,Beta-lactamase resistant penicillins
225,moexipril,moexipril,"ACE inhibitors, plain"
226,procainamide,procainamide,"Antiarrhythmics, class Ia"
227,flurbiprofen,flurbiprofen,Propionic acid derivatives
228,digoxin,digoxin,Digitalis glycosides
229,diphenhydramine,diphenhydramine,Propionic acid derivatives
230,tacrolimus,tacrolimus,"Agents for dermatitis, excluding corticosteroids"
231,isradipine,isradipine,Dihydropyridine derivatives
232,chlorpromazine,chlorpromazine,Phenothiazines with aliphatic side-chain
233,verteporfin,verteporfin,Antineovascularisation agents
234,thiopental,thiopental,"Barbiturates, plain"
235,hyoscyamine,hyoscyamine,"Belladonna alkaloids, tertiary amines"
236,nisoldipine,nisoldipine,Dihydropyridine derivatives
237,minoxidil,minoxidil,Pyrimidine derivatives
238,methyldopa,methyldopa,Methyldopa
239,etacrynic acid,ethacrynic acid,Aryloxyacetic acid derivatives
240,prochlorperazine,prochlorperazine,Phenothiazines with piperazine structure
241,deutetrabenazine,deutetrabenazine,Other nervous system drugs
242,brivaracetam,brivaracetam,Other antiepileptics
243,quinapril,quinapril,"ACE inhibitors, plain"
244,disulfiram,disulfiram,Drugs used in alcohol dependence
245,vosoritide,vosoritide,Other drugs affecting bone structure and mineralization
246,doxycycline,doxycycline,Antiinfectives and antiseptics for local oral treatment
247,tegaserod,tegaserod,Other drugs for constipation
248,trifluoperazine,trifluoperazine,Phenothiazines with piperazine structure
249,chlorthalidone,chlorthalidone,"Sulfonamides, plain"
250,telmisartan,telmisartan,"Angiotensin II receptor blockers (ARBs), plain"
251,tolterodine,tolterodine,Drugs for urinary frequency and incontinence
252,semaglutide,semaglutide,Glucagon-like peptide-1 (GLP-1) analogues
253,sapropterin,sapropterin,Various alimentary tract and metabolism products
254,tranylcypromine,tranylcypromine,"Monoamine oxidase inhibitors, non-selective"
255,dimenhydrinate,dimenhydrinate,Aminoalkyl ethers
256,clomipramine,clomipramine,Non-selective monoamine reuptake inhibitors
257,teriflunomide,teriflunomide,Dihydroorotate dehydrogenase (DHODH) inhibitors
258,safinamide,safinamide,Monoamine oxidase B inhibitors
259,naltrexone,naltrexone,Centrally acting antiobesity products
260,cannabidiol,cannabidiol,Other antiepileptics
261,trandolapril,trandolapril,ACE inhibitors and calcium channel blockers
262,butorphanol,butorphanol,Morphinan derivatives
263,lanthanum carbonate,lanthanum carbonate,Drugs for treatment of hyperkalemia and hyperphosphatemia
264,valsartan,valsartan,"Angiotensin II receptor blockers (ARBs), plain"
265,tirzepatide,tirzepatide,"Other blood glucose lowering drugs, excl. insulins"
266,levorphanol,levorphanol,Levorphanol
267,clarithromycin,clarithromycin,Macrolides
268,pentazocine,pentazocine,Benzomorphan derivatives
269,magnesium salicylate,magnesium salicylate,Salicylates
270,prazosin,prazosin,Alpha-adrenoreceptor antagonists
271,zidovudine,zidovudine,Nucleoside and nucleotide reverse transcriptase inhibitors
272,lumateperone,lumateperone,Butyrophenone derivatives
273,brentuximab vedotin,brentuximab vedotin,Other monoclonal antibodies and antibody drug conjugates
274,phenoxybenzamine,phenoxybenzamine,Other peripheral vasodilators
275,itraconazole,itraconazole,Triazole and tetrazole derivatives
276,trihexyphenidyl,trihexyphenidyl,Tertiary amines
277,isosorbide dinitrate,isosorbide dinitrate,Organic nitrates
278,liotrix,liotrix,UNKNOWN_CLASS
279,labetalol,labetalol,Alpha and beta blocking agents
280,kava,kava preparation,GABA B Receptor Interactions
281,abacavir,abacavir,Nucleoside and nucleotide reverse transcriptase inhibitors
282,interferon beta1a,interferon beta1a,UNKNOWN_CLASS
283,alfentanil,alfentanil,Opioid anesthetics
284,metyrosine,metyrosine,Tyrosine hydroxylase inhibitors
285,meclizine,meclizine,Piperazine derivatives
286,ciprofloxacin,ciprofloxacin,Fluoroquinolones
287,ibandronate,ibandronate,Bisphosphonates
288,lacosamide,lacosamide,Other antiepileptics
289,pindolol,pindolol,"Beta blocking agents, non-selective"
290,anthoxanthum odoratum pollen,sweet vernal grass pollen extract,UNKNOWN_CLASS
291,sildenafil,sildenafil,Drugs used in erectile dysfunction
292,tamoxifen,tamoxifen,Anti-estrogens
293,rosuvastatin,rosuvastatin,HMG CoA reductase inhibitors
294,nicardipine,nicardipine,Dihydropyridine derivatives
295,caffeine,caffeine,Tests for gastric secretion
296,methscopolamine,methscopolamine,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
297,phentolamine,phentolamine,Imidazoline derivatives
298,epirubicin,epirubicin,Anthracyclines and related substances
299,nortriptyline,nortriptyline,Non-selective monoamine reuptake inhibitors
300,fenoldopam,fenoldopam,Adrenergic and dopaminergic agents
301,estazolam,estazolam,Benzodiazepine derivatives
302,desmopressin,desmopressin,Vasopressin and analogues
303,selegiline,selegiline,Monoamine oxidase B inhibitors
304,oxymorphone,oxymorphone,Natural opium alkaloids
305,lixisenatide,lixisenatide,Glucagon-like peptide-1 (GLP-1) analogues
306,penicillamine,penicillamine,Penicillamine and similar agents
307,ketoprofen,ketoprofen,Propionic acid derivatives
308,perphenazine,perphenazine,Phenothiazines with piperazine structure
309,deferasirox,deferasirox,Iron chelating agents
310,promethazine,promethazine,Antihistamines for topical use
311,timolol,timolol,"Beta blocking agents, non-selective"
312,triamterene,triamterene,Other potassium-sparing agents
313,mercaptopurine,mercaptopurine,Purine analogues
314,asparaginase erwinia chrysanthemi,asparaginase Erwinia chrysanthemi,Other antineoplastic agents
315,mepenzolate,mepenzolate,"Synthetic anticholinergics, quaternary ammonium compounds"
316,acitretin,acitretin,Retinoids for treatment of psoriasis
317,nitroprusside,nitroprusside,Nitroferricyanide derivatives
318,phenytoin,phenytoin,Hydantoin derivatives
319,propantheline,propantheline,"Synthetic anticholinergics, quaternary ammonium compounds"
320,hydralazine,hydralazine,Hydrazinophthalazine derivatives
321,furosemide,furosemide,"Sulfonamides, plain"
