drug_id,drug_name,standardized_ingredient,drug_class
472,phenylbutyric acid,4-phenylbutyric acid,Phenylbutyrates
473,praziquantel,praziquantel,Quinoline derivatives and related substances
474,asciminib,asciminib,BCR-ABL tyrosine kinase inhibitors
475,vigabatrin,vigabatrin,Fatty acid derivatives
476,temsirolimus,temsirolimus,Mammalian target of rapamycin (mTOR) kinase inhibitors
477,atazanavir,atazanavir,Protease inhibitors
478,budesonide,budesonide,Corticosteroids acting locally
479,ospemifene,ospemifene,Selective estrogen receptor modulators
480,difelikefalin,difelikefalin,Other therapeutic products
481,glipizide,glipizide,Sulfonylureas
482,olanzapine,olanzapine,"Diazepines, oxazepines, thiazepines and oxepines"
483,carbinoxamine,carbinoxamine,Aminoalkyl ethers
484,buspirone,buspirone,Azaspirodecanedione derivatives
485,abiraterone,abiraterone,Other hormone antagonists and related agents
486,cefditoren,cefditoren,Third-generation cephalosporins
487,remimazolam,remimazolam,Benzodiazepine derivatives
488,insulin human inhalation rapid acting,insulin human inhalation rapid acting,UNKNOWN_CLASS
489,olaparib,olaparib,Poly (ADP-ribose) polymerase (PARP) inhibitors
490,tetrabenazine,tetrabenazine,Other nervous system drugs
491,mipomersen,mipomersen,Other lipid modifying agents
492,mobocertinib,mobocertinib,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
493,ivosidenib,ivosidenib,Isocitrate dehydrogenase (IDH) inhibitors
494,voriconazole,voriconazole,Triazole and tetrazole derivatives
495,lithium carbonate,lithium carbonate,Lithium Carbonate
496,toremifene,toremifene,Anti-estrogens
497,infigratinib,infigratinib,Fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitors
498,colchicine,colchicine,Preparations with no effect on uric acid metabolism
499,diazepam,diazepam,Benzodiazepine derivatives
500,mirtazapine,mirtazapine,Other antidepressants
501,glyburide,glyburide,Sulfonylureas
502,copanlisib,copanlisib,Phosphatidylinositol-3-kinase (Pi3K) inhibitors
503,abemaciclib,abemaciclib,Cyclin-dependent kinase (CDK) inhibitors
504,st johns wort,St. John's wort extract,Other antidepressants
505,lamotrigine,lamotrigine,Other antiepileptics
506,insulin human zinc,insulin human zinc,"Insulin, Long-Acting"
507,lurasidone,lurasidone,Indole derivatives
508,ceftibuten,ceftibuten,Third-generation cephalosporins
509,ethosuximide,ethosuximide,Succinimide derivatives
510,vilazodone,vilazodone,Other antidepressants
511,trabectedin,trabectedin,Other plant alkaloids and natural products
512,alogliptin,alogliptin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
513,pergolide,pergolide,Dopamine agonists
514,aripiprazole,aripiprazole,Other antipsychotics
515,tramadol,tramadol,Other opioids
516,iloperidone,iloperidone,Other antipsychotics
517,ezogabine,ezogabine,Other antiepileptics
518,triazolam,triazolam,Benzodiazepine derivatives
519,guanfacine,guanfacine,Imidazoline receptor agonists
520,imatinib,imatinib,BCR-ABL tyrosine kinase inhibitors
521,glasdegib,glasdegib,Hedgehog pathway inhibitors
522,everolimus,everolimus,Mammalian target of rapamycin (mTOR) kinase inhibitors
523,sertraline,sertraline,Selective serotonin reuptake inhibitors
524,oliceridine,oliceridine,Other opioids
525,phentermine,phentermine,Centrally acting antiobesity products
526,citalopram,citalopram,Selective serotonin reuptake inhibitors
527,eliglustat,eliglustat,Various alimentary tract and metabolism products
528,avanafil,avanafil,Drugs used in erectile dysfunction
529,dextromethorphan,dextromethorphan,Other antidepressants
530,rimegepant,rimegepant,Calcitonin gene-related peptide (CGRP) antagonists
531,oxcarbazepine,oxcarbazepine,Carboxamide derivatives
532,eszopiclone,eszopiclone,Benzodiazepine related drugs
533,futibatinib,futibatinib,Fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitors
534,hydromorphone,hydromorphone,Natural opium alkaloids
535,metoclopramide,metoclopramide,Propulsives
536,rilpivirine,rilpivirine,Non-nucleoside reverse transcriptase inhibitors
537,vortioxetine,vortioxetine,Other antidepressants
538,leflunomide,leflunomide,Dihydroorotate dehydrogenase (DHODH) inhibitors
539,loperamide,loperamide,Antipropulsives
540,erlotinib,erlotinib,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
541,nifurtimox,nifurtimox,Nitrofuran derivatives
542,axitinib,axitinib,Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors
543,fosamprenavir,fosamprenavir,Protease inhibitors
544,crizotinib,crizotinib,Anaplastic lymphoma kinase (ALK) inhibitors
545,cyclosporine,cyclosporine,Calcineurin inhibitors
546,eluxadoline,eluxadoline,Antipropulsives
547,levomilnacipran,levomilnacipran,Other antidepressants
548,ixazomib,ixazomib,Proteasome inhibitors
549,cilostazol,cilostazol,Platelet aggregation inhibitors excl. heparin
550,brompheniramine,brompheniramine,Substituted alkylamines
551,dapagliflozin,dapagliflozin,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
552,lonafarnib,lonafarnib,Various alimentary tract and metabolism products
553,dexchlorpheniramine,dexchlorpheniramine,Substituted alkylamines
554,pazopanib,pazopanib,Other protein kinase inhibitors
555,desvenlafaxine,desvenlafaxine,Other antidepressants
556,flavoxate,flavoxate,Drugs for urinary frequency and incontinence
557,ivacaftor,ivacaftor,Other respiratory system products
558,tipranavir,tipranavir,Protease inhibitors
559,rufinamide,rufinamide,Carboxamide derivatives
560,empagliflozin,empagliflozin,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
561,glimepiride,glimepiride,Sulfonylureas
562,amphetamine,amphetamine,Centrally acting sympathomimetics
563,pretomanid,pretomanid,Other drugs for treatment of tuberculosis
564,trametinib,trametinib,Mitogen-activated protein kinase (MEK) inhibitors
565,valerian,valerian root extract,Other hypnotics and sedatives
566,carisoprodol,carisoprodol,Carbamic acid esters
567,riociguat,riociguat,Antihypertensives for pulmonary arterial hypertension
568,benzphetamine,benzphetamine,Benzphetamine
569,ethchlorvynol,ethchlorvynol,Other hypnotics and sedatives
570,insulin glargine,insulin glargine,"Insulins and analogues for injection, long-acting"
571,lapatinib,lapatinib,Human epidermal growth factor receptor 2 (HER2) tyrosine kinase inhibitors
572,suvorexant,suvorexant,Orexin receptor antagonists
573,folic acid,folic acid,Folic acid and derivatives
574,sonidegib,sonidegib,Hedgehog pathway inhibitors
575,drospirenone,drospirenone,Progestogens
576,finerenone,finerenone,Aldosterone antagonists
577,palbociclib,palbociclib,Cyclin-dependent kinase (CDK) inhibitors
578,diethylpropion,diethylpropion,Centrally acting antiobesity products
579,methylergometrine,methylergonovine,Ergot alkaloids
580,venetoclax,venetoclax,Other antineoplastic agents
581,triprolidine,triprolidine,Other antihistamines for systemic use
582,maprotiline,maprotiline,Non-selective monoamine reuptake inhibitors
583,saxagliptin,saxagliptin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
584,fluvoxamine,fluvoxamine,Selective serotonin reuptake inhibitors
585,afatinib,afatinib,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
586,simeprevir,simeprevir,Antivirals for treatment of HCV infections
587,cycloserine,cycloserine,Antibiotics
588,brexpiprazole,brexpiprazole,Other antipsychotics
589,lisdexamfetamine,lisdexamfetamine,Centrally acting sympathomimetics
590,duloxetine,duloxetine,Other antidepressants
591,dextropropoxyphene,propoxyphene,Diphenylpropylamine derivatives
592,benznidazole,benznidazole,Nitroimidazole derivatives
593,loxapine,loxapine,"Diazepines, oxazepines, thiazepines and oxepines"
594,zafirlukast,zafirlukast,Leukotriene receptor antagonists
595,istradefylline,istradefylline,Other antiparkinson drugs
596,dextroamphetamine,dextroamphetamine,Centrally acting sympathomimetics
597,tinidazole,tinidazole,Imidazole derivatives
598,zonisamide,zonisamide,Other antiepileptics
599,voclosporin,voclosporin,Calcineurin inhibitors
600,voxelotor,voxelotor,Other hematological agents
601,betrixaban,betrixaban,Direct factor Xa inhibitors
602,regorafenib,regorafenib,Other protein kinase inhibitors
603,migalastat,migalastat,Various alimentary tract and metabolism products
604,bupropion,bupropion,Centrally acting antiobesity products
605,ritonavir,ritonavir,Antivirals for treatment of HCV infections
606,entecavir,entecavir,Nucleoside and nucleotide reverse transcriptase inhibitors
607,valbenazine,valbenazine,Other nervous system drugs
608,pimozide,pimozide,Diphenylbutylpiperidine derivatives
609,tasimelteon,tasimelteon,Melatonin receptor agonists
610,metformin,metformin,Biguanides
611,insulin aspart aspart,insulin aspart aspart,"Insulins and analogues for injection, fast-acting"
612,efavirenz,efavirenz,Non-nucleoside reverse transcriptase inhibitors
613,hydroxyzine,hydroxyzine,Diphenylmethane derivatives
614,clobazam,clobazam,Benzodiazepine derivatives
615,miglitol,miglitol,Alpha glucosidase inhibitors
616,ertugliflozin,ertugliflozin,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
617,dexbrompheniramine,dexbrompheniramine,Substituted alkylamines
618,ponatinib,ponatinib,BCR-ABL tyrosine kinase inhibitors
619,levetiracetam,levetiracetam,Other antiepileptics
620,pomalidomide,pomalidomide,Other immunosuppressants
621,metronidazole,metronidazole,Nitroimidazole derivatives
622,bosutinib,bosutinib,BCR-ABL tyrosine kinase inhibitors
623,cabergoline,cabergoline,Prolactine inhibitors
624,ceritinib,ceritinib,Anaplastic lymphoma kinase (ALK) inhibitors
625,telotristat ethyl,telotristat ethyl,Phenylalanine
626,dronedarone,dronedarone,"Antiarrhythmics, class III"
627,etonogestrel,etonogestrel,Progestogens
628,lurbinectedin,lurbinectedin,Other antineoplastic agents
629,adagrasib,adagrasib,Other antineoplastic agents
630,quinidine,quinidine,"Antiarrhythmics, class Ia"
631,pregabalin,pregabalin,Gabapentinoids
632,calcium gluconate,calcium gluconate,Calcium
633,methylphenidate,methylphenidate,Centrally acting sympathomimetics
634,dronabinol,dronabinol,Other antiemetics
635,midostaurin,midostaurin,Other protein kinase inhibitors
636,selpercatinib,selpercatinib,Other protein kinase inhibitors
637,insulin lispro,insulin lispro,"Insulins and analogues for injection, fast-acting"
638,carbamazepine,carbamazepine,Carboxamide derivatives
639,oxazepam,oxazepam,Benzodiazepine derivatives
640,ziprasidone,ziprasidone,Indole derivatives
641,docetaxel,docetaxel,Taxanes
642,neratinib,neratinib,Human epidermal growth factor receptor 2 (HER2) tyrosine kinase inhibitors
643,ruxolitinib,ruxolitinib,"Agents for dermatitis, excluding corticosteroids"
644,fluoxetine,fluoxetine,Selective serotonin reuptake inhibitors
645,perampanel,perampanel,Other antiepileptics
646,panobinostat,panobinostat,Histone deacetylase (HDAC) inhibitors
647,aliskiren,aliskiren,Renin-inhibitors
648,elacestrant,elacestrant,Anti-estrogens
649,lorlatinib,lorlatinib,Anaplastic lymphoma kinase (ALK) inhibitors
650,haloperidol,haloperidol,Butyrophenone derivatives
651,ribavirin,ribavirin,Antivirals for treatment of HCV infections
652,mefloquine,mefloquine,Methanolquinolines
653,tadalafil,tadalafil,Testosterone-5-alpha reductase inhibitors
654,clofedanol,chlophedianol,Other cough suppressants
655,milnacipran,milnacipran,Other antidepressants
656,fentanyl,fentanyl,Opioid anesthetics
657,valproic acid,valproic acid,Fatty acid derivatives
658,nateglinide,nateglinide,"Other blood glucose lowering drugs, excl. insulins"
659,canagliflozin,canagliflozin,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
660,zaleplon,zaleplon,Benzodiazepine related drugs
661,amiodarone,amiodarone,"Antiarrhythmics, class III"
662,alpelisib,alpelisib,Phosphatidylinositol-3-kinase (Pi3K) inhibitors
663,ivabradine,ivabradine,Other cardiac preparations
664,trimethadione,trimethadione,Oxazolidine derivatives
665,duvelisib,duvelisib,Phosphatidylinositol-3-kinase (Pi3K) inhibitors
666,zanubrutinib,zanubrutinib,Bruton's tyrosine kinase (BTK) inhibitors
667,clozapine,clozapine,"Diazepines, oxazepines, thiazepines and oxepines"
668,avatrombopag,avatrombopag,Other systemic hemostatics
669,mycophenolic acid,mycophenolic acid,Selective immunosuppressants
670,ramelteon,ramelteon,Melatonin receptor agonists
671,vericiguat,vericiguat,Other vasodilators used in cardiac diseases
672,mavacamten,mavacamten,Other cardiac preparations
673,dantrolene,dantrolene,Dantrolene and derivatives
674,cyclobenzaprine,cyclobenzaprine,Other centrally acting agents
675,dasatinib,dasatinib,BCR-ABL tyrosine kinase inhibitors
676,clemastine,clemastine,Antihistamines for topical use
677,mitapivat,mitapivat,Other hematological agents
678,trimethobenzamide,trimethobenzamide,Aminoalkyl ethers
679,fexinidazole,fexinidazole,Nitroimidazole derivatives
680,ziconotide,ziconotide,Other analgesics and antipyretics
681,tiagabine,tiagabine,Fatty acid derivatives
682,halofantrine,halofantrine,Other antimalarials
683,doxylamine,doxylamine,Aminoalkyl ethers
684,quazepam,quazepam,Benzodiazepine derivatives
685,ganciclovir,ganciclovir,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
686,pirtobrutinib,pirtobrutinib,Bruton's tyrosine kinase (BTK) inhibitors
687,linagliptin,linagliptin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
688,cyproheptadine,cyproheptadine,Other antihistamines for systemic use
689,hydrocodone,hydrocodone,Opium alkaloids and derivatives
690,insulin human isophane,insulin human isophane,"Insulin, Isophane"
691,cabozantinib,cabozantinib,Other protein kinase inhibitors
692,felbamate,felbamate,Other antiepileptics
693,tolazamide,tolazamide,Sulfonylureas
694,propofol,propofol,Other general anesthetics
695,dabrafenib,dabrafenib,B-Raf serine-threonine kinase (BRAF) inhibitors
696,tolbutamide,tolbutamide,Sulfonylureas
697,ixabepilone,ixabepilone,Other cytotoxic antibiotics
698,rosiglitazone,rosiglitazone,Thiazolidinediones
699,chlorpropamide,chlorpropamide,Sulfonylureas
700,nilutamide,nilutamide,Anti-androgens
701,acarbose,acarbose,Alpha glucosidase inhibitors
702,pioglitazone,pioglitazone,Thiazolidinediones
703,ropinirole,ropinirole,Dopamine agonists
704,methsuximide,methsuximide,Succinimide derivatives
705,azelastine nasal,azelastine,"Antiallergic agents, excl. corticosteroids"
706,sibutramine,sibutramine,Centrally acting antiobesity products
707,pacritinib,pacritinib,Janus-associated kinase (JAK) inhibitors
708,tazemetostat,tazemetostat,Other antineoplastic agents
709,paroxetine,paroxetine,Selective serotonin reuptake inhibitors
710,sirolimus,sirolimus,Mammalian target of rapamycin (mTOR) kinase inhibitors
711,dexmedetomidine,dexmedetomidine,Other hypnotics and sedatives
712,brigatinib,brigatinib,Anaplastic lymphoma kinase (ALK) inhibitors
713,levodopa,levodopa,Dopa and dopa derivatives
714,alprazolam,alprazolam,Benzodiazepine derivatives
715,sirolimus proteinbound,sirolimus proteinbound,Mammalian target of rapamycin (mTOR) kinase inhibitors
716,baclofen,baclofen,Other centrally acting agents
717,meprobamate,meprobamate,Carbamates
718,tafenoquine,tafenoquine,Aminoquinolines
719,diltiazem,diltiazem,Muscle relaxants
720,flibanserin,flibanserin,Other gynecologicals
721,sodium oxybate,sodium oxybate,Other general anesthetics
722,zolpidem,zolpidem,Benzodiazepine related drugs
723,entacapone,entacapone,Other dopaminergic agents
724,griseofulvin,griseofulvin,Antibiotics
725,eltrombopag,eltrombopag,Other systemic hemostatics
726,bexagliflozin,bexagliflozin,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
727,lepirudin,lepirudin,Direct thrombin inhibitors
728,bivalirudin,bivalirudin,Direct thrombin inhibitors
729,peginterferon alfa-2a,peginterferon alfa-2a,Interferons
730,alteplase,alteplase,Enzymes
731,interferon alfa-n1,interferon alfa-n1,Interferons
732,darbepoetin alfa,darbepoetin alfa,Other antianemic preparations
733,urokinase,urokinase,Enzymes
734,reteplase,reteplase,Enzymes
735,erythropoietin,epoetin alfa,Epoetin Alfa
736,salmon calcitonin,salmon calcitonin,Calcitonin preparations
737,peginterferon alfa-2b,peginterferon alfa-2b,Interferons
738,anistreplase,anistreplase,Enzymes
740,tenecteplase,tenecteplase,Enzymes
741,interferon gamma-1b,interferon gamma-1b,Interferon-gamma
742,interferon alfa-2a,interferon alfa-2a,Interferons
743,abciximab,abciximab,Platelet aggregation inhibitors excl. heparin
744,drotrecogin alfa,drotrecogin alfa,Enzymes
746,interferon beta-1a,interferon beta-1a,Interferons
747,eptifibatide,eptifibatide,Platelet aggregation inhibitors excl. heparin
748,interferon beta-1b,interferon beta-1b,Interferons
749,insulin pork,"insulin, regular, pork","Insulins and analogues for injection, fast-acting"
750,ibritumomab tiuxetan,ibritumomab tiuxetan,"Antibodies, Monoclonal"
751,pancrelipase,amylase / lipase / protease,Enzyme preparations
752,streptokinase,streptokinase,Enzymes
755,interferon alfa-2b,interferon alfa-2b,Interferons
756,cyanocobalamin,vitamin B12,Vitamin B12 (cyanocobalamin and analogues)
757,biotin,biotin,Other plain vitamin preparations
758,ascorbic acid,ascorbic acid,"Ascorbic acid (vitamin C), plain"
759,l-glutamine,glutamine,Amino acids and derivatives
760,methionine,methionine,Antidotes
761,lutein,lutein,Lutein
762,calcifediol,calcifediol,Vitamin D and analogues
763,vitamin e,vitamin E,Other plain vitamin preparations
770,nicotine,nicotine,Drugs used in nicotine dependence
777,fluconazole,fluconazole,Imidazole and triazole derivatives
778,oseltamivir,oseltamivir,Neuraminidase inhibitors
782,pyrimethamine,pyrimethamine,Diaminopyrimidines
784,azithromycin,azithromycin,Macrolides
787,midodrine,midodrine,Adrenergic and dopaminergic agents
788,pantoprazole,pantoprazole,Proton pump inhibitors
791,eletriptan,eletriptan,Selective serotonin (5HT1) agonists
792,moxifloxacin,moxifloxacin,Fluoroquinolones
793,nelfinavir,nelfinavir,Protease inhibitors
799,aminosalicylic acid,aminosalicylic acid,Aminosalicylic acid and derivatives
801,nevirapine,nevirapine,Non-nucleoside reverse transcriptase inhibitors
802,butalbital,butalbital,Barbiturates
803,cladribine,cladribine,Purine analogues
805,mesalazine,mesalamine,Aminosalicylic acid and similar agents
808,methysergide,methysergide,Ergot alkaloids
810,dapsone,dapsone,Other anti-acne preparations for topical use
813,lymecycline,lymecycline,Tetracyclines
814,calcium acetate,calcium acetate,Drugs for treatment of hyperkalemia and hyperphosphatemia
816,anagrelide,anagrelide,Other antineoplastic agents
817,carmustine,carmustine,Nitrosoureas
819,dicoumarol,dicumarol,Vitamin K antagonists
825,argatroban,argatroban,Direct thrombin inhibitors
826,liothyronine,liothyronine,Thyroid hormones
832,atomoxetine,atomoxetine,Centrally acting sympathomimetics
833,chlorambucil,chlorambucil,Nitrogen mustard analogues
837,flucloxacillin,floxacillin,Beta-lactamase resistant penicillins
838,tranexamic acid,tranexamic acid,Amino acids
840,vindesine,vindesine,Vinca alkaloids and analogues
845,gefitinib,gefitinib,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
852,ethambutol,ethambutol,Other drugs for treatment of tuberculosis
856,omeprazole,omeprazole,Proton pump inhibitors
857,pyrazinamide,pyrazinamide,Other drugs for treatment of tuberculosis
866,megestrol acetate,megestrol acetate,Progestogens
870,aminoglutethimide,aminoglutethimide,Aromatase inhibitors
873,vinorelbine,vinorelbine,Vinca alkaloids and analogues
876,grepafloxacin,grepafloxacin,Fluoroquinolones
882,treprostinil,treprostinil,Platelet aggregation inhibitors excl. heparin
883,colestipol,colestipol,Bile acid sequestrants
885,palonosetron,palonosetron,Serotonin (5HT3) antagonists
886,mexiletine,mexiletine,"Antiarrhythmics, class Ib"
888,tacrine,tacrine,Anticholinesterases
892,sulpiride,sulpiride,Benzamides
896,phenylpropanolamine,phenylpropanolamine,Sympathomimetics
903,ardeparin,ardeparin,"Heparin, Low-Molecular-Weight"
907,acetohexamide,acetohexamide,Sulfonylureas
909,phenoxymethylpenicillin,penicillin V,Beta-lactamase sensitive penicillins
911,miglustat,miglustat,Various alimentary tract and metabolism products
912,promazine,promazine,Phenothiazines with aliphatic side-chain
918,famciclovir,famciclovir,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
920,lindane,lindane,Chlorine containing products
921,trifluridine,trifluridine,Antivirals
924,bendroflumethiazide,bendroflumethiazide,"Thiazides, plain"
925,allopurinol,allopurinol,Preparations inhibiting uric acid production
926,cerivastatin,cerivastatin,HMG CoA reductase inhibitors
928,teniposide,teniposide,Podophyllotoxin derivatives
930,chloramphenicol,chloramphenicol,Other antibiotics for topical use
932,lansoprazole,lansoprazole,Proton pump inhibitors
939,methscopolamine bromide,methscopolamine bromide,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
942,tenoxicam,tenoxicam,Oxicams
944,montelukast,montelukast,Leukotriene receptor antagonists
950,lenalidomide,lenalidomide,Other immunosuppressants
951,raloxifene,raloxifene,Selective estrogen receptor modulators
952,celecoxib,celecoxib,Other antineoplastic agents
953,brimonidine,brimonidine,Other dermatologicals
956,altretamine,altretamine,Other antineoplastic agents
965,phenindione,phenindione,Vitamin K antagonists
966,flutamide,flutamide,Anti-androgens
972,dextrothyroxine,dextrothyroxine,Other lipid modifying agents
973,vancomycin,vancomycin,Antibiotics
974,aminocaproic acid,6-aminocaproic acid,Amino acids
976,cisplatin,cisplatin,Platinum compounds
979,alitretinoin,alitretinoin,"Agents for dermatitis, excluding corticosteroids"
981,lercanidipine,lercanidipine,Dihydropyridine derivatives
983,cyclophosphamide,cyclophosphamide,Nitrogen mustard analogues
984,rofecoxib,rofecoxib,Coxibs
985,cefdinir,cefdinir,Third-generation cephalosporins
989,vincristine,vincristine,Vinca alkaloids and analogues
992,pyridostigmine,pyridostigmine,Anticholinesterases
993,azelaic acid,azelaic acid,Other anti-acne preparations for topical use
995,propylthiouracil,propylthiouracil,Thiouracils
996,acetohydroxamic acid,acetohydroxamic acid,Other urologicals
1001,bosentan,bosentan,Antihypertensives for pulmonary arterial hypertension
1004,succimer,succimer,Succimer
1005,cephalexin,cephalexin,First-generation cephalosporins
1006,fondaparinux,fondaparinux,Other antithrombotic agents
1007,vinblastine,vinblastine,Vinca alkaloids and analogues
1013,sulfamethizole,sulfamethizole,Antiinfectives
1014,valaciclovir,valacyclovir,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
1015,carbenicillin,carbenicillin,Penicillins with extended spectrum
1016,mazindol,mazindol,Centrally acting antiobesity products
1017,valdecoxib,valdecoxib,Coxibs
1018,lactulose,lactulose,Osmotically acting laxatives
1020,levocarnitine,levocarnitine,Amino acids and derivatives
1022,nizatidine,nizatidine,H2-receptor antagonists
1025,piperazine,piperazine,Piperazine and derivatives
1033,medroxyprogesterone acetate,medroxyprogesterone acetate,Progestogens
1041,rifabutin,rifabutin,Antibiotics
1051,prednisone,prednisone,Corticosteroids acting locally
1052,clofibrate,clofibrate,Fibrates
1053,astemizole,astemizole,Other antihistamines for systemic use
1056,pemetrexed,pemetrexed,Folic acid analogues
1057,mebendazole,mebendazole,Benzimidazole derivatives
1058,dyclonine,dyclonine,Other local anesthetics
1060,mitotane,mitotane,Other antineoplastic agents
1061,stavudine,stavudine,Nucleoside and nucleotide reverse transcriptase inhibitors
1063,estrone,estrone,"Natural and semisynthetic estrogens, plain"
1065,mecamylamine,mecamylamine,Secondary and tertiary amines
1066,sevelamer,sevelamer,Drugs for treatment of hyperkalemia and hyperphosphatemia
1067,acamprosate,acamprosate,Drugs used in alcohol dependence
1072,nafarelin,nafarelin,Gonadotropin-releasing hormones
1073,sumatriptan,sumatriptan,Selective serotonin (5HT1) agonists
1074,pirenzepine,pirenzepine,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
1075,cefixime,cefixime,Third-generation cephalosporins
1077,aprepitant,aprepitant,Other antiemetics
1078,galantamine,galantamine,Anticholinesterases
1084,trovafloxacin,trovafloxacin,Fluoroquinolones
1085,pentosan polysulfate,pentosan polysulfate,Heparins or heparinoids for topical use
1086,fludrocortisone,fludrocortisone,Mineralocorticoids
1087,mycophenolate mofetil,mycophenolate mofetil,Mycophenolic Acid
1093,nitrofurantoin,nitrofurantoin,Nitrofuran derivatives
1095,amprenavir,amprenavir,Protease inhibitors
1096,methazolamide,methazolamide,Carbonic anhydrase inhibitors
1098,delavirdine,delavirdine,Non-nucleoside reverse transcriptase inhibitors
1101,lamivudine,lamivudine,Nucleoside and nucleotide reverse transcriptase inhibitors
1103,diethylcarbamazine,diethylcarbamazine,Piperazine and derivatives
1108,adefovir dipivoxil,adefovir dipivoxil,Nucleoside and nucleotide reverse transcriptase inhibitors
1109,azatadine,azatadine,Other antihistamines for systemic use
1110,clodronic acid,clodronic acid,Bisphosphonates
1112,imiquimod,imiquimod,Antivirals
1119,riluzole,riluzole,Other nervous system drugs
1120,hydrocortisone,hydrocortisone,"Corticosteroids, moderately potent (group II)"
1121,zileuton,zileuton,Other systemic drugs for obstructive airway diseases
1126,prilocaine,prilocaine,Amides
1129,tretinoin,tretinoin,Retinoids for topical use in acne
1130,dolasetron,dolasetron,Serotonin (5HT3) antagonists
1131,clopidogrel,clopidogrel,Platelet aggregation inhibitors excl. heparin
1133,potassium chloride,potassium chloride,Potassium
1135,clavulanic acid,clavulanic acid,"Combinations of penicillins, incl. beta-lactamase inhibitors"
1137,etoposide,etoposide,Podophyllotoxin derivatives
1138,hydroflumethiazide,hydroflumethiazide,"Thiazides, plain"
1140,nalidixic acid,nalidixic acid,Other quinolones
1144,acyclovir,acyclovir,Antivirals
1148,sulfasalazine,sulfasalazine,Aminosalicylic acid and similar agents
1149,candesartan cilexetil,candesartan cilexetil,"Angiotensin II receptor blockers (ARBs), plain"
1152,pentoxifylline,pentoxifylline,Purine derivatives
1156,phenylbutazone,phenylbutazone,Butylpyrazolidines
1159,sodium lauryl sulfate,sodium dodecyl sulfate,Sodium Dodecyl Sulfate
1160,orciprenaline,metaproterenol,Non-selective beta-adrenoreceptor agonists
1161,acetazolamide,acetazolamide,Carbonic anhydrase inhibitors
1164,fosfomycin,fosfomycin,Other antibacterials
1167,cefaclor,cefaclor,Second-generation cephalosporins
1172,donepezil,donepezil,Anticholinesterases
1174,clofazimine,clofazimine,Drugs for treatment of lepra
1175,cysteamine,cysteamine,Amino acids and derivatives
1178,dacarbazine,dacarbazine,Other alkylating agents
1179,pseudoephedrine,pseudoephedrine,Sympathomimetics
1180,temozolomide,temozolomide,Other alkylating agents
1182,terbinafine,terbinafine,Other antifungals for topical use
1184,prednisolone,prednisolone,Corticosteroids for local oral treatment
1185,diflunisal,diflunisal,Salicylic acid and derivatives
1187,ranitidine,ranitidine,H2-receptor antagonists
1190,benzonatate,benzonatate,Other cough suppressants
1191,guaifenesin,guaifenesin,Expectorants
1192,flupentixol,flupenthixol,Thioxanthene derivatives
1195,chlorhexidine,chlorhexidine,Antiinfectives and antiseptics for local oral treatment
1196,emtricitabine,emtricitabine,Nucleoside and nucleotide reverse transcriptase inhibitors
1198,clomifene,clomiphene,"Ovulation stimulants, synthetic"
1202,granisetron,granisetron,Serotonin (5HT3) antagonists
1207,ondansetron,ondansetron,Serotonin (5HT3) antagonists
1211,paricalcitol,paricalcitol,Other anti-parathyroid agents
1214,anileridine,anileridine,Opioid anesthetics
1215,amantadine,amantadine,Adamantane derivatives
1217,almotriptan,almotriptan,Selective serotonin (5HT1) agonists
1218,ketotifen,ketotifen,Other antihistamines for systemic use
1221,etretinate,etretinate,Retinoids for treatment of psoriasis
1222,famotidine,famotidine,H2-receptor antagonists
1223,misoprostol,misoprostol,Propionic acid derivatives
1224,colesevelam,colesevelam,Bile acid sequestrants
1230,zalcitabine,zalcitabine,Nucleoside and nucleotide reverse transcriptase inhibitors
1232,phenprocoumon,phenprocoumon,Vitamin K antagonists
1236,naratriptan,naratriptan,Selective serotonin (5HT1) agonists
1237,rizatriptan,rizatriptan,Selective serotonin (5HT1) agonists
1239,norgestimate,norgestimate,"Progestogens and estrogens, sequential preparations"
1240,carboplatin,carboplatin,Platinum compounds
1245,desloratadine,desloratadine,Other antihistamines for systemic use
1247,alosetron,alosetron,Serotonin receptor antagonists
1248,azelastine,azelastine,"Antiallergic agents, excl. corticosteroids"
1249,ezetimibe,ezetimibe,Other lipid modifying agents
