drug_id,drug_name,standardized_ingredient,drug_class
85,pravastatin sodium,pravastatin sodium,HMG-CoA Reductase Inhibitor
86,nicardipine hydrochloride,nicardipine hydrochloride,Dihydropyridine Calcium Channel Blocker
87,methadone hydrochloride,methadone hydrochloride,Opioid Agonist
88,bisoprolol fumarate and hydrochlorothiazide,bisoprolol fumarate,Thiazide Diuretic
89,doxylamine succinate and pyridoxine hydrochloride,doxylamine succinate,Antihistamine
90,trihexyphenidyl hydrochloride,trihexyphenidyl hydrochloride,UNKNOWN_CLASS
91,divalproex sodium,divalproex sodium,Anti-epileptic Agent
92,hydralazine hydrochloride,hydralazine hydrochloride,Arteriolar Vasodilator
93,eltrombopag,eltrombopag olamine,Thrombopoietin Receptor Agonist
94,losartan potassium,losartan potassium,Angiotensin 2 Receptor Blocker
95,nystatin,nystatin,Polyene Antifungal
96,fluphenazine hydrochloride,fluphenazine hydrochloride,Phenothiazine
97,hydroxyzine pamoate,hydroxyzine pamoate,Antihistamine
98,fetzima,levomilnacipran hydrochloride,UNKNOWN_CLASS
99,omega-3-acid ethyl esters,omega-3-acid ethyl esters,Omega-3 Fatty Acid
100,diclofenac sodium,diclofenac sodium,Nonsteroidal Anti-inflammatory Drug
101,zelvysia,sapropterin dihydrochloride,Phenylalanine Hydroxylase Activator
102,zolpidem tartrate,zolpidem tartrate,gamma-Aminobutyric Acid A Receptor Positive Modulator
103,abacavir,abacavir sulfate,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor
104,atomoxetine,atomoxetine hydrochloride,Norepinephrine Reuptake Inhibitor
105,esomeprazole magnesium dr,esomeprazole magnesium dihydrate,Proton Pump Inhibitor
106,sevelamer carbonate,sevelamer carbonate,Phosphate Binder
107,phentermine hydrochloride,phentermine hydrochloride,Sympathomimetic Amine Anorectic
108,aplenzin,bupropion hydrobromide,Aminoketone
109,trifluoperazine hydrochloride,trifluoperazine hydrochloride,Phenothiazine
110,oxybutynin chloride,oxybutynin chloride,Cholinergic Muscarinic Antagonist
111,motofen,atropine sulfate,Anticholinergic
112,mycophenolic acid,mycophenolate sodium,Antimetabolite Immunosuppressant
113,ziprasidone hydrochloride,ziprasidone hydrochloride,Atypical Antipsychotic
114,"brompheniramine maleate, pseudoephedrine hydrochloride and dextromethorphan hydrobromide",brompheniramine maleate,Sigma-1 Agonist
115,dabigatran etexilate,dabigatran etexilate mesylate,Direct Thrombin Inhibitor
116,perphenazine and amitriptyline hydrochloride,amitriptyline hydrochloride,Phenothiazine
