food_name
alcohol
avidin
bayberry
bilberry
biotin
blue cohosh
broccoli
caffeine
calcium
calcium supplement
chamomile
chocolate
citrus
coffee
cruciferous vegetables
dairy products
danshen
diet
echinacea
egg white
ephedra
fatty meal
flavonoids
fluids
food
garlic
ginger
ginkgo biloba
ginseng
grapefruit
green tea
green vegetables
high-fat meal
iron
iron supplement
kale
licorice
low-fat meal
lutein
magnesium
meal
melatonin
milk
omega-3 fatty acids
potassium
sodium
soy
spinach
st. john's wort
tea
tyramine
vitamin a
vitamin b3
vitamin b6
vitamin c
vitamin d
vitamin e
vitamin k
water
zinc
