drug_name,food_name,severity,description,source
paclitaxel,grapefruit juice,Moderate,"Coadministration with inhibitors of CYP450 3A4, such as grapefruit juice, may increase the plasma concentrations of paclitaxel, which is a substrate of the isoenzyme","""Product Information. Taxotere (docetaxel)."" Rhone Poulenc Rorer  (2001):|Aronson JK, Grahame-Smith DG ""Clinical pharmacology: adverse drug interactions."" Br Med J 282 (1981):  288-91|McInnes GT, Brodie MJ ""Drug interactions that matter: a critical reappraisal."" Drugs 36 (1988):  83-110|Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0|Yong WP, Wang LZ, Tham LS, et al. ""A phase I study of docetaxel with ketoconazole modulation in patients with advanced cancers."" Cancer Chemother Pharmacol 62 (2008):  243-51|Cerner Multum, Inc. ""Australian Product Information."" O 0|Engels FK, Mathot RA, Loos WJ, van Schaik RH, Verweij J ""Influence of high-dose ketoconazole on the pharmacokinetics of docetaxel."" Cancer Biol Ther 5 (2006):  833-9|Valenzuela B, Rebollo J, Perez T, Brugarolas A, Perez-Ruixo JJ ""Effect of grapefruit juice on the pharmacokinetics of docetaxel in cancer patients: a case report."" Br J Clin Pharmacol  (2011):|Starr SP, Hammann F, Gotta V, et al. ""Pharmacokinetic interaction between taxanes and amiodarone leading to severe toxicity."" Br J Clin Pharmacol 450 (2016):  22-27"
methylprednisolone,grapefruit juice,Moderate,"Grapefruit juice may increase the plasma concentrations of orally administered drugs that are substrates of the CYP450 3A4 isoenzyme.  The proposed mechanism is inhibition of CYP450 3A4-mediated first-pass metabolism in the gut wall by certain compounds present in grapefruit.  Because grapefruit juice inhibits primarily intestinal rather than hepatic CYP450 3A4, the magnitude of interaction is greatest for those drugs that undergo significant presystemic metabolism by CYP450 3A4 (i.e., drugs with low oral bioavailability).  In general, the effect of grapefruit juice is concentration-, dose- and preparation-dependent, and can vary widely among brands.  Certain preparations of grapefruit juice (e.g., high dose, double strength) have sometimes demonstrated potent inhibition of CYP450 3A4, while other preparations (e.g., low dose, single strength) have typically demonstrated moderate inhibition.  Pharmacokinetic interactions involving grapefruit juice are also subject to a high degree of interpatient variability, thus the extent to which a given patient may be affected is difficult to predict.","Edgar B, Bailey D, Bergstrand R, et al. ""Acute effects of drinking grapefruit juice on the pharmacokinetics and dynamics on felodipine and its potential clinical relevance."" Eur J Clin Pharmacol 42 (1992):  313-7|Jonkman JH, Sollie FA, Sauter R, Steinijans VW ""The influence of caffeine on the steady-state pharmacokinetics of theophylline."" Clin Pharmacol Ther 49 (1991):  248-55|Bailey DG, Arnold JM, Munoz C, Spence JD ""Grapefruit juice--felodipine interaction: mechanism, predictability, and effect of naringin."" Clin Pharmacol Ther 53 (1993):  637-42|Bailey DG, Arnold JMO, Spence JD ""Grapefruit juice and drugs - how significant is the interaction."" Clin Pharmacokinet 26 (1994):  91-8|Sigusch H, Hippius M, Henschel L, Kaufmann K, Hoffmann A ""Influence of grapefruit juice on the pharmacokinetics of a slow release nifedipine formulation."" Pharmazie 49 (1994):  522-4|Bailey DG, Arnold JM, Strong HA, Munoz C, Spence JD ""Effect of grapefruit juice and naringin on nisoldipine pharmacokinetics."" Clin Pharmacol Ther 54 (1993):  589-94|Yamreudeewong W, Henann NE, Fazio A, Lower DL, Cassidy TG ""Drug-food interactions in clinical practice."" J Fam Pract 40 (1995):  376-84|""Grapefruit juice interactions with drugs."" Med Lett Drugs Ther 37 (1995):  73-4|Hukkinen SK, Varhe A, Olkkola KT, Neuvonen PJ ""Plasma concentrations of triazolam are increased by concomitant ingestion of grapefruit juice."" Clin Pharmacol Ther 58 (1995):  127-31|Min DI, Ku YM, Geraets DR, Lee HC ""Effect of grapefruit juice on the pharmacokinetics and pharmacodynamics of quinidine in healthy volunteers."" J Clin Pharmacol 36 (1996):  469-76|Majeed A, Kareem A ""Effect of grapefruit juice on cyclosporine pharmacokinetics."" Pediatr Nephrol 10 (1996):  395|Clifford CP, Adams DA, Murray S, Taylor GW, Wilkins MR, Boobis AR, Davies DS ""Pharmacokinetic and cardiac effects of terfenadine after inhibition of its metabolism by grapefruit juice."" Br J Clin Pharmacol 42 (1996):  p662|Josefsson M, Zackrisson AL, Ahlner J ""Effect of grapefruit juice on the pharmacokinetics of amlodipine in healthy volunteers."" Eur J Clin Pharmacol 51 (1996):  189-93|Kantola T, Kivisto KT, Neuvonen PJ ""Grapefruit juice greatly increases serum concentrations of lovastatin and lovastatin acid."" Clin Pharmacol Ther 63 (1998):  397-402|Ozdemir M, Aktan Y, Boydag BS, Cingi MI, Musmul A ""Interaction between grapefruit juice and diazepam in humans."" Eur J Drug Metab Pharmacokinet 23 (1998):  55-9|Bailey DG, Malcolm J, Arnold O, Spence JD ""Grapefruit juice-drug interactions."" Br J Clin Pharmacol 46 (1998):  101-10|Bailey DG, Kreeft JH, Munoz C, Freeman DJ, Bend JR ""Grapefruit juice felodipine interaction: Effect of naringin and 6',7'-dihydroxybergamottin in humans."" Clin Pharmacol Ther 64 (1998):  248-56|Garg SK, Kumar N, Bhargava VK, Prabhakar SK ""Effect of grapefruit juice on carbamazepine bioavailability in patients with epilepsy."" Clin Pharmacol Ther 64 (1998):  286-8|Lilja JJ, Kivisto KT, Neuvonen PJ ""Grapefruit juice-simvastatin interaction: Effect on serum concentrations of simvastatin, simvastatin acid, and HMG-CoA reductase inhibitors."" Clin Pharmacol Ther 64 (1998):  477-83|Fuhr U, Maier-Bruggemann A, Blume H, et al. ""Grapefruit juice increases oral nimodipine bioavailability."" Int J Clin Pharmacol Ther 36 (1998):  126-32|Lilja JJ, Kivisto KT, Neuvonen PJ ""Grapefruit juice increases serum concentrations of atorvastatin and has no effect on pravastatin."" Clin Pharmacol Ther 66 (1999):  118-27|Eagling VA, Profit L, Back DJ ""Inhibition of the CYP3A4-mediated metabolism and P-glycoprotein-mediated transport of the HIV-I protease inhibitor saquinavir by grapefruit juice components."" Br J Clin Pharmacol 48 (1999):  543-52|Damkier P, Hansen LL, Brosen K ""Effect of diclofenac, disulfiram, itraconazole, grapefruit juice and erythromycin on the pharmacokinetics of quinidine."" Br J Clin Pharmacol 48 (1999):  829-38|Lee AJ, Chan WK, Harralson AF, Buffum J, Bui BCC ""The effects of grapefruit juice on sertraline metabolism: An in vitro and in vivo study."" Clin Ther 21 (1999):  1890-9|Dresser GK, Spence JD, Bailey DG ""Pharmacokinetic-pharmacodynamic consequences and clinical relevance of cytochrome P450 3A4 inhibition."" Clin Pharmacokinet 38 (2000):  41-57|Gunston GD, Mehta U ""Potentially serious drug interactions with grapefruit juice."" S Afr Med J 90 (2000):  41|Takanaga H, Ohnishi A, Maatsuo H, et al. ""Pharmacokinetic analysis of felodipine-grapefruit juice interaction based on an irreversible enzyme inhibition model."" Br J Clin Pharmacol 49 (2000):  49-58|Libersa CC, Brique SA, Motte KB, et al. ""Dramatic inhibition of amiodarone metabolism induced by grapefruit juice."" Br J Clin Pharmacol 49 (2000):  373-8|Bailey DG, Dresser GR, Kreeft JH, Munoz C, Freeman DJ, Bend JR ""Grapefruit-felodipine interaction: Effect of unprocessed fruit and probable active ingredients."" Clin Pharmacol Ther 68 (2000):  468-77|Zaidenstein R, Soback S, Gips M, Avni B, Dishi V, Weissgarten Y, Golik A, Scapa E ""Effect of grapefruit juice on the pharmacokinetics of losartan and its active metabolite E3174 in healthy volunteers."" Ther Drug Monit 23 (2001):  369-73|Sato J, Nakata H, Owada E, Kikuta T, Umetsu M, Ito K ""Influence of usual intake of dietary caffeine on single-dose kinetics of theophylline in healthy human subjects."" Eur J Clin Pharmacol 44 (1993):  295-8|Flanagan D ""Understanding the grapefruit-drug interaction."" Gen Dent 53 (2005):  282-5; quiz 286"
ketorolac,alcohol,Moderate,The concurrent use of aspirin or nonsteroidal anti-inflammatory drugs (NSAIDs) and ethanol may lead to gastrointestinal (GI) blood loss.  The mechanism may be due to a combined local effect as well as inhibition of prostaglandins leading to decreased integrity of the GI lining.,"""Product Information. Motrin (ibuprofen)."" Pharmacia and Upjohn  (2002):"
doxazosin,alcohol,Moderate,The concurrent use of ethanol and alpha-1 adrenergic blockers may cause increased hypotensive effects.  Patients with aldehyde dehydrogenase deficiencies (primarily Asians) may be at a higher risk of this interaction.,"Kawano Y, Abe H, Kojima S, Takishita S, Omae T ""Interaction of alcohol and an a1-blocker on ambulatory blood pressure in patients with essential hypertension."" Am J Hypertens 13 (2000):  307-12|""Product Information. Xatral (alfuzosin)."" Sanofi-Synthelabo Canada Inc  (2002):"
pegaspargase,alcohol,Moderate,"Concomitant use of asparaginase with other hepatotoxic agents may potentiate the risk of liver injury.  Asparaginase-associated hepatotoxicity has been reported more commonly in adults than in children and has been strongly associated with obesity.  Hepatomegaly, acute severe hepatotoxicity, and fatal liver failure have been reported with asparaginase treatment in adults.  Also, asparaginase may increase the toxicity of drugs bound to plasma proteins or metabolized by the liver.","""Product Information. Oncaspar (pegaspargase)."" Rhone Poulenc Rorer  (2001):|""Product Information. Elspar (asparaginase)."" Merck & Co., Inc  (2001):|Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0|Cerner Multum, Inc. ""Australian Product Information."" O 0|""Product Information. Erwinaze (asparaginase Erwinia chrysanthemi)."" EUSA Pharma|Cerner Multum, Inc ""ANVISA Bul��rio Eletr?nico."" O 0 (2015):|""Product Information. Asparlas (calaspargase pegol)."" Servier  (2019):|Al-Nawakil C, Willems L, Mauprivez C, et al. ""Successful treatment of l-asparaginase-induced severe acute hepatotoxicity using mitochondrial cofactors."" Leuk Lymphoma 55 (2014):  1670-4|Christ TN, Stock W, Knoebel RW ""Incidence of asparaginase-related hepatotoxicity, pancreatitis, and thrombotic events in adults with acute lymphoblastic leukemia treated with a pediatric-inspired regimen."" J Oncol Pharm Pract 24 (2018):  299-308|Jenkins R, Perlin E ""Severe hepatotoxicity from Escherichia coli L-asparaginase."" J Natl Med Assoc 79 (1987):  775-9|Lu G, Karur V, Herrington JD, Walker MG ""Successful treatment of pegaspargase-induced acute hepatotoxicity with vitamin B complex and L-carnitine"" Proc (Bayl Univ Med Cent) 29 (2016):  46-7|Bodmer M, Sulz M, Stadlmann S, Droll A, Terracciano L, Krahenbuhl S ""Fatal liver failure in an adult patient with acute lymphoblastic leukemia following treatment with L-asparaginase."" Digestion 74 (2006):  epub|Burke PW, Aldoss I, Lunning MA, et al. ""High-grade PEGylated asparaginase-related hepatotoxicity occurrence in a pediatric-inspired adult acute lymphoblastic leukemia regimen does not necessarily predict recurrent hepatotoxicity in subsequent cycles."" Blood 122 (2013):  2671"
sotorasib,highfat foods,Low,"Food does not appear to have a clinically significant effect on the oral bioavailability of sotorasib.  When a 960 mg dose of sotorasib was administered to study patients with a high-fat, high-calorie meal (approximately 800 to 1000 calories; 150, 250, and 500 to 600 calories from protein, carbohydrate, and fat, respectively), sotorasib peak plasma concentration (Cmax) did not change while systemic exposure (AUC 0-24 hours) increased by 25% compared to administration under fasted conditions.  Sotorasib can be administered with or without food at approximately the same time each day.","Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0|""Product Information. Lumakras (sotorasib)."" Amgen USA  (2021):"
belladonna,alcohol,Moderate,"Use of anticholinergic agents with alcohol may result in sufficient impairment of attention so as to render driving and operating machinery more hazardous.  In addition, the potential for abuse may be increased with the combination.  The mechanism of interaction is not established but may involve additive depressant effects on the central nervous system.","Linnoila M ""Drug effects on psychomotor skills related to driving: interaction of atropine, glycopyrrhonium and alcohol."" Eur J Clin Pharmacol 6 (1973):  107-12"
maraviroc,highfat foods,Low,"Administration with food may reduce the bioavailability of maraviroc.  According to the product labeling, coadministration of a 300 mg dose of maraviroc with a high-fat breakfast reduced maraviroc peak plasma concentration (Cmax) and systemic exposure (AUC) by 33% in healthy volunteers.","""Product Information. Selzentry (maraviroc)."" Pfizer U.S. Pharmaceuticals Group  (2007):"
clonidine,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Sternbach H ""Fluoxetine-associated potentiation of calcium-channel blockers."" J Clin Psychopharmacol 11 (1991):  390-1|Shook TL, Kirshenbaum JM, Hundley RF, Shorey JM, Lamas GA ""Ethanol intoxication complicating intravenous nitroglycerin therapy."" Ann Intern Med 101 (1984):  498-9|Feder R ""Bradycardia and syncope induced by fluoxetine."" J Clin Psychiatry 52 (1991):  139|Ellison JM, Milofsky JE, Ely E ""Fluoxetine-induced bradycardia and syncope in two patients."" J Clin Psychiatry 51 (1990):  385-6|Rodriguez de la Torre B, Dreher J, Malevany I, et al. ""Serum levels and cardiovascular effects of tricyclic antidepressants and selective serotonin reuptake inhibitors in depressed patients."" Ther Drug Monit 23 (2001):  435-40|Cerner Multum, Inc. ""Australian Product Information."" O 0|Pacher P, Kecskemeti V ""Cardiovascular side effects of new antidepressants and antipsychotics: new drugs, old concerns?"" Curr Pharm Des 10 (2004):  2463-75|Andrews C, Pinner G ""Postural hypotension induced by paroxetine."" BMJ 316 (1998):  595"
droperidol,alcohol,High,"The use of droperidol has been associated with QT interval prolongation, torsade de pointes and other serious arrhythmias, and sudden death.  The concurrent administration of agents that can produce hypokalemia and/or hypomagnesemia (e.g., potassium-wasting diuretics, amphotericin B, cation exchange resins), drugs known to increase the QT interval (e.g., phenothiazines, tricyclic antidepressants, antiarrhythmic agents, etc.), certain other drugs (benzodiazepines, volatile anesthetics, intravenous opiates), or alcohol abuse may increase the risk of prolonged QT syndrome.","""Product Information. Inapsine (droperidol)."" Janssen Pharmaceuticals  (2001):|Glassman AH, Bigger JT Jr ""Antipsychotic drugs: prolonged QTc interval, torsade de pointes, and sudden death."" Am J Psychiatry 158 (2001):  1774-82|Cerner Multum, Inc. ""UK Summary of Product Characteristics."" O 0|Canadian Pharmacists Association ""e-CPS.  http://www.pharmacists.ca/function/Subscriptions/ecps.cfm?link=eCPS_quikLink""   (2006):|Cerner Multum, Inc. ""Australian Product Information."" O 0|EMA. European Medicines Agency. European Union ""EMA - List of medicines under additional monitoring.  http://www.ema.europa.eu/ema/index.jsp?curl=pages/regulation/document_listing/document_listing_000366.jsp&mid=WC0b01ac058067c852""   (2013):"
risedronic acid,food,Moderate,"Food significantly decreases the bioavailability of risedronate, possibly to negligible levels.","""Product Information. Actonel (risedronate)."" Procter and Gamble Pharmaceuticals  (2001):"
brincidofovir,food,Moderate,"Administration with food decreases the oral bioavailability of brincidofovir.  According to the product labeling, administration of brincidofovir tablets with a low-fat meal (approximately 400 calories, 25% of calories from fat) was associated with a reduction in the systemic exposure (AUC) and peak plasma concentration (Cmax) of brincidofovir by 31% and 49%, respectively, compared to administration under fasting.","""Product Information. Tembexa (brincidofovir)."" Chimerix, Inc.  (2022):"
regadenoson,coffee,Moderate,"Caffeine and other xanthine derivatives are nonspecific, competitive antagonists of adenosine receptors.  As such, they may interfere with the vasodilating effect of regadenoson, an adenosine receptor agonist.","""Product Information. Lexiscan (regadenoson)."" Astellas Pharma US, Inc  (2008):"
acetaminophen,alcohol,High,"Chronic, excessive consumption of alcohol may increase the risk of acetaminophen-induced hepatotoxicity, which has included rare cases of fatal hepatitis and frank hepatic failure requiring liver transplantation.  The proposed mechanism is induction of hepatic microsomal enzymes during chronic alcohol use, which may result in accelerated metabolism of acetaminophen and increased production of potentially hepatotoxic metabolites.","Kaysen GA, Pond SM, Roper MH, Menke DJ, Marrama MA ""Combined hepatic and renal injury in alcoholics during therapeutic use of acetaminophen."" Arch Intern Med 145 (1985):  2019-23|O'Dell JR, Zetterman RK, Burnett DA ""Centrilobular hepatic fibrosis following acetaminophen-induced hepatic necrosis in an alcoholic."" JAMA 255 (1986):  2636-7|Seeff LB, Cuccherini BA, Zimmerman HJ, Adler E, Benjamin SB ""Acetaminophen hepatotoxicity in alcoholics."" Ann Intern Med 104 (1986):  399-404|Thummel KE, Slattery JT, Nelson SD ""Mechanism by which ethanol diminishes the hepatotoxicity of acetaminophen."" J Pharmacol Exp Ther 245 (1988):  129-36|McClain CJ, Kromhout JP, Peterson FJ, Holtzman JL ""Potentiation of acetaminophen hepatotoxicity by alcohol."" JAMA 244 (1980):  251-3|Kartsonis A, Reddy KR, Schiff ER ""Alcohol, acetaminophen, and hepatic necrosis."" Ann Intern Med 105 (1986):  138-9|Prescott LF, Critchley JA ""Drug interactions affecting analgesic toxicity."" Am J Med 75 (1983):  113-6|""Product Information. Tylenol (acetaminophen)."" McNeil Pharmaceutical  (2002):|Whitcomb DC, Block GD ""Association of acetaminopphen hepatotoxicity with fasting and ethanol use."" JAMA 272 (1994):  1845-50|Bonkovsky HL ""Acetaminophen hepatotoxicity, fasting, and ethanol."" JAMA 274 (1995):  301|Nelson EB, Temple AR ""Acetaminophen hepatotoxicity, fasting, and ethanol."" JAMA 274 (1995):  301|Zimmerman HJ, Maddrey WC ""Acetaminophen (paracetamol) hepatotoxicity with regular intake of alcohol: analysis of instances of therapeutic misadventure."" Hepatology 22 (1995):  767-73"
protriptyline,alcohol,Moderate,"Concomitant use of ethanol and a tricyclic antidepressant (TCA) may result altered TCA plasma levels and efficacy, and additive impairment of motor skills, especially driving skills.  Acute ethanol ingestion may inhibit TCA metabolism, while chronic ingestion of large amounts of ethanol may induce hepatic TCA metabolism.","Dorian P, Sellers EM, Reed KL, et al. ""Amitriptyline and ethanol: pharmacokinetic and pharmacodynamic interaction."" Eur J Clin Pharmacol 25 (1983):  325-31|Warrington SJ, Ankier SI, Turner P ""Evaluation of possible interactions between ethanol and trazodone or amitriptyline."" Neuropsychobiology 15 (1986):  31-7|Sandoz M, Vandel S, Vandel B, Bonin B, Allers G, Volmat R ""Biotransformation of amitriptyline in alcoholic depressive patients."" Eur J Clin Pharmacol 24 (1983):  615-21|Ciraulo DA, Barnhill JG, Jaffe JH ""Clinical pharmacokinetics of imipramine and desipramine in alcoholics and normal volunteers."" Clin Pharmacol Ther 43 (1988):  509-18|Seppala T, Linnoila M, Elonen E, Mattila MJ, Makl M ""Effect of tricyclic antidepressants and alcohol on psychomotor skills related to driving."" Clin Pharmacol Ther 17 (1975):  515-22|Ciraulo DA, Barnhill JG, Jaffe JH, Ciraulo AM, Tarmey MF ""Intravenous pharmacokinetics of 2-hydroxyimipramine in alcoholics and normal controls."" J Stud Alcohol 51 (1990):  366-72|Ciraulo DA, Alderson LM, Chapron DJ, Jaffe JH, Subbarao B, Kramer PA ""Imipramine disposition in alcoholics."" J Clin Psychopharmacol 2 (1982):  2-7"
irbesartan,alcohol,Moderate,"Many psychotherapeutic and CNS-active agents (e.g., anxiolytics, sedatives, hypnotics, antidepressants, antipsychotics, opioids, alcohol, muscle relaxants) exhibit hypotensive effects, especially during initiation of therapy and dose escalation.  Coadministration with antihypertensives and other hypotensive agents, in particular vasodilators and alpha-blockers, may result in additive effects on blood pressure and orthostasis.","Sternbach H ""Fluoxetine-associated potentiation of calcium-channel blockers."" J Clin Psychopharmacol 11 (1991):  390-1|Shook TL, Kirshenbaum JM, Hundley RF, Shorey JM, Lamas GA ""Ethanol intoxication complicating intravenous nitroglycerin therapy."" Ann Intern Med 101 (1984):  498-9|Feder R ""Bradycardia and syncope induced by fluoxetine."" J Clin Psychiatry 52 (1991):  139|Ellison JM, Milofsky JE, Ely E ""Fluoxetine-induced bradycardia and syncope in two patients."" J Clin Psychiatry 51 (1990):  385-6|Rodriguez de la Torre B, Dreher J, Malevany I, et al. ""Serum levels and cardiovascular effects of tricyclic antidepressants and selective serotonin reuptake inhibitors in depressed patients."" Ther Drug Monit 23 (2001):  435-40|Cerner Multum, Inc. ""Australian Product Information."" O 0|Pacher P, Kecskemeti V ""Cardiovascular side effects of new antidepressants and antipsychotics: new drugs, old concerns?"" Curr Pharm Des 10 (2004):  2463-75|Andrews C, Pinner G ""Postural hypotension induced by paroxetine."" BMJ 316 (1998):  595"
irbesartan,food high in potassium,Moderate,"Moderate-to-high dietary intake of potassium, especially salt substitutes, may increase the risk of hyperkalemia in some patients who are using angiotensin II receptor blockers (ARBs).  ARBs can promote hyperkalemia through inhibition of angiotensin II-induced aldosterone secretion.  Patients with diabetes, heart failure, dehydration, or renal insufficiency have a greater risk of developing hyperkalemia.","""Product Information. Cozaar (losartan)."" Merck & Co., Inc  (2001):|""Product Information. Diovan (valsartan)."" Novartis Pharmaceuticals  (2001):"
lomitapide,food,High,"Administration of lomitapide with food may increase the risk of common gastrointestinal adverse reactions such as diarrhea, nausea, vomiting, dyspepsia, abdominal pain or discomfort, abdominal distension, constipation, and flatulence.  Absorption of concomitant oral medications may be affected in patients who develop diarrhea or vomiting.","""Product Information. Juxtapid (lomitapide)."" Aegerion Pharmaceuticals Inc  (2013):"
iron,food,Moderate,"Concomitant use of some food may reduce the bioavailability of orally administered iron, and vice versa.","""Product Information. Feosol (ferrous sulfate)."" SmithKline Beecham|""Product Information. Accrufer (ferric maltol)."" Shield Therapeutics  (2021):"
norethisterone,alcohol,Low,"The central nervous system effects and blood levels of ethanol may be increased in patients taking oral contraceptives, although data are lacking and reports are contradictory.  The mechanism may be due to enzyme inhibition.","Hobbes J, Boutagy J, Shenfield GM ""Interactions between ethanol and oral contraceptive steroids."" Clin Pharmacol Ther 38 (1985):  371-80"
